"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"BMI",5.88019144144049,1.4078199638906,0.0150582973024971,3.35309168309942,4.73580039291308
"waist",3.78552088792947,4.052410270323,2.23662702209129,1.1842013164354,4.85894135998947
"glucose",3.86483196325753,3.55914304166336,1.589848293852,2.11998167202903,0.618623104383379
"insulin",4.41002933067597,1.94678804968952,0.258288478956081,5.54702697977272,9.04908597003567
"triglycerides",3.90255789642695,2.62193028740785,1.30294789481669,1.04979934467774,1.10471191185041
"HDL",5.20634942625773,0.889124820004274,0.884831163173936,7.74228088251331,0.14180725241336
"systolic_BP",3.86678838926496,2.36793075310938,0.484480704147046,0.382828122803648,0.16982806530642
"CRP",4.05474765159293,1.92984792546947,6.42978460324438,1.90416469013024,1.59384593689103
"met_01",1.03695599939827,0.134616541949674,3.23703175587995e-05,1.81310963176614,0.782758778327596
"met_02",1.55604376160878,0.229570555779581,0.133779224731312,2.2008268460667,0.559570251331354
"met_03",0.628961113251769,0.458400865498877,0.26454284089025,7.69273152064982,7.19874204945708
"met_04",0.540158764443107,0.897058758636003,0.507390837569963,0.172406014519196,0.979012869418659
"met_05",1.8509815191047,0.91803632933986,0.0707741638028304,0.00505283238445728,1.67507993743313
"met_06",0.556735816158339,0.182396038340152,0.0966670707393991,2.19131245731619,0.000224121016019779
"met_07",1.05716131852938,0.339618558035355,3.92150185800707,0.201246976154302,0.352534196056633
"met_08",0.846818793963846,0.463633834199881,0.179697811232761,4.7282209110266,3.95956186461788
"met_09",1.43429408754003,1.08592056978634,0.179220395922385,0.000118383506126301,0.668233015145663
"met_10",0.873302994197529,0.419620666843561,0.196431442064221,0.0395829721294466,3.44455516237422
"met_11",0.519723213117156,0.826284060835784,2.42242573814045,1.87332545552184,0.569052341439143
"met_12",1.17783705546227,1.57657477150927,0.0611753624213971,0.621080256873526,0.470968146301968
"met_13",0.956358816785594,0.244945401382383,0.388561962236357,0.0674426347833521,1.60182567137956
"met_14",0.36064641840852,0.785868454608831,0.00935851645106793,0.381862203188945,0.211752856253512
"met_15",0.557619668544736,0.771006783498766,0.417573471707245,1.0774750612131,0.253645742686662
"met_16",1.62566372074343,0.29813133773541,0.535860529405234,0.273740223611738,2.26500531358301
"met_17",0.962074909411133,0.510840058548192,0.484931100181486,3.53198517873946,0.0432660440661369
"met_18",0.951547149695717,0.341081964768045,1.45124754510105,0.0289511686326412,0.0937299428318325
"met_19",1.67921799848623,0.831156614640823,0.0851799767412272,2.36897735561479,1.141457622629
"met_20",1.34759179522689,0.360092238654231,0.243012005738818,0.000537666433928342,0.0962472478932207
"met_21",1.46778643364057,0.168904710015885,0.301582913130986,0.311702282979553,2.20798221072297
"met_22",0.574809791375295,0.463282766938965,0.0232771281799972,3.26137925761335,0.94429366022664
"met_23",0.688924960649415,0.00736163083421044,2.05430421864927,0.0959313862633278,0.061935765826375
"met_24",0.806570683774059,0.532699370576542,0.0173806908499108,1.32111964376666,0.218828471971435
"met_25",1.2673831581703,0.299702212323869,4.09402357757161,1.51698105964906,0.0653066053935065
"met_26",0.375400509076428,1.1941639378775,0.664327232951166,0.273275587446603,0.299858925614907
"met_27",0.507156752350688,0.931821565420425,0.105063534072894,1.34929393448664,0.729983985993923
"met_28",0.709836443569134,1.27424890489527,0.081040328313436,0.050356958066975,0.659259863673895
"met_29",1.12420079176573,0.0971015703145396,0.0729424123130891,0.201581173439276,0.00508866311264291
"met_30",0.000798072308534543,0.769188804410282,0.0976054770072718,0.0217519299489936,4.01458841307242
"met_31",0.751423761457931,0.916271434064153,0.189825286350062,0.0393304686712681,2.01359014190145
"met_32",0.459862772677348,2.4978443101538,0.328374671070496,0.017424668075681,4.06846047838313
"met_33",1.03000223809539,1.17902338264648,0.168581228017298,0.870373018515752,0.171617021271228
"met_34",0.370653192464435,3.45980150482077,0.162640210031476,1.65417143990379,0.169875235981996
"met_35",0.697297627969176,0.941222871107085,0.0550462135837818,1.31705030937786,0.0887018227149716
"met_36",0.312591825791532,2.08919141709546,2.2905759046294,0.0154260722446996,0.00208043774037523
"met_37",0.647015124075685,2.55715165105505,0.158327974867675,0.150149403479016,0.232524401242713
"met_38",0.741386789719257,1.10252840808351,0.0633519229382984,0.232380596601602,4.34653659954065
"met_39",0.0396705701242608,0.724350751295577,0.693701208989297,0.000195965003352643,3.14207327368579
"met_40",1.1048723428777,1.23915352987053,0.1410428390457,0.348317543579049,0.449722588929004
"met_41",0.68088472931446,0.0638940001487525,0.458845724795477,1.46656297909781,4.12035687367184
"met_42",0.974544194433789,0.00660955081326724,0.403947343707749,1.58283893267645,1.322800266638
"met_43",1.14627249504486,0.420615111057682,0.433542166541254,0.246812169553359,0.923003877082144
"met_44",0.985563086194734,0.0349562323602515,0.029250030476173,3.41790081319995,0.00849805124751996
"met_45",0.930635040550435,0.000199488659677445,3.45005553817883,3.79615187712365,2.54963534716526
"met_46",0.705054056165844,0.0693148525561612,0.473445210826908,0.0712476026373526,0.0576221787698641
"met_47",1.00007475577475,0.0102363752301481,1.42472282845793,1.73714396245153,1.95573171950868
"met_48",0.579741868801229,0.144019422607874,0.070186536546415,1.64386404197821,1.51478947851259
"met_49",0.553749047151183,0.26316426398475,0.210902299834927,0.79914477543359,0.31058680972961
"met_50",0.414561878784482,0.353535398726738,1.49703672412183,0.397360808764235,0.473672253405207
"met_51",0.249252543893633,0.0782299072692516,3.01011537915413,2.05051340393846,1.16830934764253
"met_52",0.192423836822372,0.00134399806287654,0.59082598717259,2.79438118589273,3.8985349421747
"met_53",0.0533489284292093,0.202387673067711,6.80456329345869,2.48027669500877,0.101934686753768
"met_54",1.36532043317038,0.04597436687158,3.77456461179926,1.07866496717132,0.105327538885916
"met_55",0.57212961210423,0.292284356274432,6.77637921869068,1.30583767246264,0.142511478566532
"met_56",0.0506430036745482,0.000286613890842222,8.64016346690634,1.14144115599332,0.309896293665713
"met_57",0.723792099316181,0.00207585354383983,4.97441328849746,0.312185314002065,0.367789079975665
"met_58",0.147780417415348,0.000968961136419366,3.60465038374715,0.830106507095422,0.309163655780108
"met_59",0.584860800998731,0.126389576763708,3.42469518178688,0.0104663158515892,1.13176207670467
"met_60",0.326928826139794,0.0718500963237223,8.42758534742034,0.18331541305246,0.751801851609078
"tax_01",0.798947663411034,1.84280705840552,0.245096235306654,0.0304242961208146,0.012140330871288
"tax_02",0.29526823994636,1.49642401287152,0.649208007452317,0.00303349318985642,0.105525914202756
"tax_03",0.692595709526964,1.34750601102863,0.0247162103428582,0.0108212753134624,0.19782882141092
"tax_04",0.310200582919091,1.33369306892706,0.0810488472222318,0.0281837598997569,0.205254289371433
"tax_05",0.677988463723202,1.69814948553893,0.000921903431104792,0.0634730463845122,0.381446787575526
"tax_06",0.599871812231639,1.01637168501404,0.133618048890779,0.36083316237453,0.0722323316986375
"tax_07",0.548320857384216,1.37004946295901,0.0176593222403505,0.0465356220163964,0.0839215713306982
"tax_08",0.404747535298837,1.29186475061869,0.108018611872324,0.141548227832958,0.00907104133713995
"tax_09",0.553524653872537,0.879148820217503,0.035675952782893,0.0125396415254751,0.0896393077414392
"tax_10",0.628214837386326,1.78686530306657,0.0841567616797523,0.0204887140524812,0.26087509646064
"tax_11",0.501432279396778,1.48823425583863,0.00789688256545823,0.618967261988728,0.774242099409491
"tax_12",0.858902269745862,1.88953894391905,0.0142582511696866,0.130962749165368,0.255883829307863
"tax_13",0.330272608904106,1.46469796648015,0.03915016293928,0.548993685250123,0.116631708700265
"tax_14",0.653997476514903,1.41178693068059,0.0703717419332987,0.0874935767805382,0.02755610898381
"tax_15",0.378345610560811,1.00331814236453,0.282446394021488,0.0380091162485306,0.01759797615585
"tax_16",0.680952862819948,1.16251716001752,0.00799581847943325,0.405961413068747,0.246482565637613
"tax_17",0.458450384801285,1.27652172461752,0.00229120170983857,0.0337918570978238,0.0108873776067005
"tax_18",0.424962876274544,0.965766370884164,0.0480793413185655,0.00729084755124086,0.369330088903543
"tax_19",0.79062873849978,1.5886858516192,0.00619294641616723,0.245151193735632,0.197262542347317
"tax_20",0.678881644265923,1.43831096378799,0.0490136234694135,0.159136342735604,0.175169467931022
"tax_21",0.619868340957637,1.61595669127182,0.0182916216145031,0.00287172026850055,0.0113744431927155
"tax_22",0.616295608145738,0.910846722980734,0.0375984446040836,0.0159261092238052,0.066891840292374
"tax_23",0.521817585680302,1.19204060687505,0.337439914442077,0.19558400656853,0.293761054077414
"tax_24",0.641164921267364,1.6669765289688,0.00520089216076937,0.00434911912089385,0.00749093066162508
"tax_25",0.710803165581341,1.54112176103607,0.0965376896507651,0.00226841928979894,0.0200225402343721
"tax_26",0.34245533735808,1.33271145063433,0.511773117144582,0.228184722830767,3.04915097156086e-05
"tax_27",0.464687383916392,1.71853038938011,0.0955324626376881,0.00209564575653677,0.0921397466445971
"tax_28",0.461742138318175,1.32552365927467,0.0507368479741565,0.586893222712689,0.270286042771748
"tax_29",0.529880233450306,1.07833538354105,0.207156912448578,0.185219462636159,0.159087077081859
"tax_30",0.710421673880091,1.40201669978531,0.0460479734388433,0.446428823038249,0.0174046886708012
"tax_31",0.819226178594241,1.24461310574842,0.00999411050403014,0.053647474918217,0.00231698968260364
"tax_32",0.489092589976038,1.83865723091762,0.00571002018933404,0.00416153788169515,0.00161481095741469
"tax_33",0.00274756643886011,0.0992742966763029,0.186782369956013,0.625530688594261,0.378679687428494
"tax_34",0.103830014226529,0.00839188747419293,3.48881705773311e-05,0.14604760181463,0.0557938151296101
"tax_35",0.0864084991216902,0.00872852052311483,0.29847449200114,0.298337844280154,0.455896188107677
"tax_36",0.0771513329823366,0.0638704961914032,0.160506066160119,0.053178609833699,0.180375070003332
"tax_37",0.00421432606420677,0.00103187815082622,0.81964399627002,0.0145180624050429,0.000407164836650793
"tax_38",0.112149550500495,0.083353142002778,0.0737737910971675,0.222736001112704,0.00664944155137429
"tax_39",0.0108388057685204,0.0108819452680222,0.000140250077191183,0.875924717770293,0.236632936594548
"tax_40",0.00278024325093971,0.0216792851444177,0.036671658544408,0.0946871935195581,0.0782622410725975
